en,es
Act 44 Early Termination Tool,Herramienta de Terminación Anticipada de la Ley 44
Welcome to REFORM Alliance's Act 44 Early Termination tool.,Bienvenido a la herramienta de Terminación Anticipada de la Ley 44 de REFORM Alliance.
This tool is designed to help users navigate the legal requirements of ,Esta herramienta está diseñada para ayudar a los usuarios a navegar los requisitos legales de la 
Pennsylvania's Act 44,Ley 44 de Pennsylvania
", which requires courts to assess people for early termination of probation or the modification of probation conditions.",", la cual exige que los tribunales evalúen a las personas para la terminación anticipada de la libertad condicional o la modificación de las condiciones de la libertad condicional."
"This tool can be used by anyone, but is specifically designed to be used by people on probation. To begin using the tool, please click on the START button below.","Esta herramienta puede ser utilizada por cualquier persona, pero está específicamente diseñada para ser utilizada por personas en libertad condicional. Para comenzar a usar la herramienta, haga clic en el botón INICIAR a continuación."
"This tool is specifically designed to be used by people on probation or others who do not professionally work in this system. For those who work in this field, we have created other tools to help navigate every step in the Act 44 process regarding early termination and modification of probation conditions, those tools are available ","Esta herramienta está diseñada específicamente para ser utilizada por personas en libertad condicional u otras personas que no trabajan profesionalmente en este sistema. Para aquellos que trabajan en este campo, hemos creado otras herramientas para ayudar a navegar cada paso en el proceso de la Ley 44 con respecto a la terminación anticipada y la modificación de las condiciones de la libertad condicional, esas herramientas están disponibles "
here,aquí
First we need to ask when you were sentenced. We ask this question first because Act 44 provides very different options for you depending on when you were sentenced.,Primero necesitamos preguntar cuándo fue sentenciado. Hacemos esta pregunta primero porque la Ley 44 le ofrece opciones muy diferentes según la fecha de su sentencia.
"What date were you sentenced? If you do not know, you can look it up ","¿En qué fecha fue sentenciado? Si no lo sabe, puede buscarlo "
Yes,Sí
No,No
Next we need to ask you some questions about the charge or charges for which you were sentenced to probation. This is important because people sentenced for certain types of crimes are eligible for different kinds of legal options.,"A continuación, debemos hacerle algunas preguntas sobre el cargo o los cargos por los que fue sentenciado a libertad condicional. Esto es importante porque las personas sentenciadas por ciertos tipos de delitos son elegibles para diferentes tipos de opciones legales."
"Do you know the crimes for which you were convicted? If not, you can look them up ","¿Conoce los delitos por los que fue condenado? Si no, puede buscarlos "
Were you sentenced to probation for one of the following types of crimes?,¿Fue sentenciado a libertad condicional por uno de los siguientes tipos de delitos?
A ,Un 
Crime of Violence,Delito de Violencia
A crime related to sex offender registration (defined either ,Un delito relacionado con el registro de delincuentes sexuales (definido como 
 or , o 
homicide,homicidio
", including manslaughter, causing or aiding suicide, or drug delivery resulting in death",", incluyendo homicidio involuntario, causar o ayudar al suicidio, o entrega de drogas que resulte en muerte"
Simple assault,Asalto simple
 committed against a family or household member, cometido contra un miembro de la familia o del hogar
Stalking,Acecho
Next we need to ask you whether you were sentenced to jail or prison in addition to your probation sentence. This is important because it helps determine when you might be eligible for early termination.,"A continuación, necesitamos preguntarle si fue sentenciado a cárcel o prisión además de su sentencia de libertad condicional. Esto es importante porque ayuda a determinar cuándo podría ser elegible para la terminación anticipada."
"Were you sentenced to jail or prison in addition to your probation sentence? For this question, only sentences to jail or prison count, not time served in jail before your sentence.","¿Fue sentenciado a cárcel o prisión además de su sentencia de libertad condicional? Para esta pregunta, solo cuentan las sentencias de cárcel o prisión, no el tiempo cumplido en la cárcel antes de su sentencia."
